Batch,Trade,Time
39,1238,4
39,123,2
39,623,2
,Total Calculation Time,398

40,706,97
40,1639,60
40,1000,45
40,1058,38
40,1452,31
40,887,27
40,684,21
40,1478,20
40,1205,16
40,1298,13
40,1795,11
40,802,6
40,926,5
40,1241,4
40,135,2
40,625,2
,Total Calculation Time,398

41,1953,97
41,1812,60
41,1020,45
41,1074,38
41,1683,31
41,1003,27
41,705,21
41,1518,20
41,1294,16
41,1332,13
41,1897,11
41,825,6
41,941,5
41,1268,4
41,152,2
41,631,2
,Total Calculation Time,398

42,780,96
42,1178,60
42,1592,46
42,1128,38
42,1781,31
42,1045,27
42,815,21
42,1523,20
42,1300,16
42,1343,13
42,1914,11
42,830,6
42,942,5
42,1271,4
42,169,2
42,686,2
,Total Calculation Time,398

43,1586,96
43,1316,60
43,6,45
43,91,38
43,252,32
43,1174,27
43,817,21
43,1528,20
43,1407,16
43,1390,13
43,1926,11
43,833,6
43,947,5
43,1282,4
43,175,2
43,715,2
,Total Calculation Time,398

44,665,94
44,892,60
44,1326,46
44,1784,39
44,275,32
44,1277,27
44,847,21
44,1566,20
44,1408,16
44,1401,13
44,55,10
44,348,6
44,1735,6
44,1400,4
44,195,2
44,724,2
,Total Calculation Time,398

45,1503,93
45,837,60
45,699,46
45,1825,40
45,297,32
45,1318,27
45,913,21
45,1601,20
45,1424,16
45,1451,13
45,66,10
45,359,6
45,1783,6
45,1406,4
45,198,2
45,774,2
,Total Calculation Time,398

46,1787,93
46,866,60
46,1019,46
46,1919,40
46,431,32
46,1356,27
46,918,21
46,1652,20
46,1505,16
46,1499,13
46,369,10
46,381,6
46,1805,6
46,1448,4
46,208,2
46,790,2
,Total Calculation Time,398

47,1121,92
47,1535,61
47,1104,46
47,1939,40
47,473,32
47,1473,27
47,934,21
47,1668,20
47,1513,16
47,1564,13
47,513,10
47,387,6
47,1846,6
47,1465,4
47,211,2
47,799,2
,Total Calculation Time,398

48,1335,92
48,340,60
48,1350,47
48,34,39
48,460,36
48,1219,25
48,31,20
48,1685,20
48,1631,16
48,1633,13
48,543,10
48,402,6
48,1856,6
48,1501,4
48,216,2
48,809,2
,Total Calculation Time,398

49,1423,92
49,775,60
49,1494,47
49,35,39
49,493,36
49,1231,25
49,65,20
49,1692,20
49,1641,16
49,1666,13
49,621,10
49,416,6
49,1861,6
49,1510,4
49,222,2
49,816,2
,Total Calculation Time,398

50,164,91
50,391,61
50,1642,47
50,119,39
50,508,36
50,1253,25
50,89,20
50,1742,20
50,1671,16
50,1688,13
50,856,10
50,425,6
50,1868,6
50,1516,4
50,226,2
50,821,2
,Total Calculation Time,398

51,186,91
51,439,61
51,129,46
51,1900,41
51,714,32
51,1733,27
51,987,21
51,1767,20
51,1684,16
51,1799,13
51,909,10
51,430,6
51,1869,6
51,1558,4
51,227,2
51,835,2
,Total Calculation Time,398

52,717,91
52,586,61
52,137,46
52,9,40
52,517,36
52,1281,25
52,139,20
52,1772,20
52,1686,16
52,1806,13
52,1053,10
52,434,6
52,1872,6
52,1602,4
52,229,2
52,838,2
,Total Calculation Time,398

53,1502,91
53,767,61
53,199,46
53,24,40
53,634,36
53,1331,25
53,158,20
53,1794,20
53,1737,16
53,1810,13
53,1098,10
53,461,6
53,1877,6
53,1638,4
53,236,2
53,839,2
,Total Calculation Time,398

54,1590,91
54,795,61
54,424,46
54,86,40
54,739,36
54,1434,25
54,166,20
54,1827,20
54,1796,16
54,1819,13
54,1173,10
54,463,6
54,1895,6
54,1655,4
54,241,2
54,841,2
,Total Calculation Time,398

55,1741,91
55,950,61
55,566,46
55,146,40
55,779,36
55,1440,25
55,172,20
55,1863,20
55,1884,16
55,1832,13
55,1196,10
55,490,6
55,1913,6
55,1679,4
55,254,2
55,848,2
,Total Calculation Time,398

56,1857,91
56,1224,61
56,666,46
56,239,40
56,1011,36
56,1467,25
56,207,20
56,1866,20
56,1963,16
56,1898,13
56,1359,10
56,495,6
56,1917,6
56,1771,4
56,276,2
56,853,2
,Total Calculation Time,398

57,519,90
57,189,61
57,382,47
57,409,40
57,1076,36
57,1536,25
57,249,20
57,1870,20
57,95,15
57,200,13
57,1603,12
57,836,6
57,1072,5
57,1793,4
57,305,2
57,877,2
,Total Calculation Time,398

58,115,89
58,1464,62
58,1055,47
58,452,40
58,1090,36
58,1542,25
58,286,20
58,1942,20
58,190,15
58,228,13
58,1607,12
58,840,6
58,1147,5
58,1829,4
58,314,2
58,902,2
,Total Calculation Time,398

59,277,89
59,1661,62
59,1166,47
59,704,40
59,1124,36
59,1634,25
59,303,20
59,1962,20
59,596,15
59,231,13
59,1627,12
59,857,6
59,1187,5
59,1835,4
59,315,2
59,933,2
,Total Calculation Time,398

60,1084,89
60,1722,62
60,1167,47
60,1070,40
60,1169,36
60,1637,25
60,316,20
60,1992,20
60,604,15
60,261,13
60,1676,12
60,889,6
60,1190,5
60,1837,4
60,332,2
60,963,2
,Total Calculation Time,398

61,1504,89
61,1833,62
61,1256,47
61,1129,40
61,1184,36
61,1665,25
61,328,20
61,1996,20
61,1092,15
61,304,13
61,1706,12
61,898,6
61,1222,5
61,1878,4
61,334,2
61,969,2
,Total Calculation Time,398

62,938,88
62,1380,62
62,664,49
62,145,39
62,1278,36
62,1719,25
62,344,20
62,1,19
62,743,18
62,153,12
62,1612,10
62,516,6
62,1930,6
62,1888,4
62,366,2
62,970,2
,Total Calculation Time,398

63,1790,88
63,1450,62
63,727,49
63,196,39
63,1360,36
63,1734,25
63,356,20
63,61,19
63,754,18
63,154,12
63,1875,10
63,525,6
63,1938,6
63,1915,4
63,385,2
63,991,2
,Total Calculation Time,398

64,278,87
64,541,63
64,867,49
64,212,39
64,1425,36
64,1743,25
64,373,20
64,70,19
64,792,18
64,168,12
64,44,9
64,1809,9
64,1867,5
64,563,3
64,404,2
64,993,2
,Total Calculation Time,398

65,532,87
65,668,63
65,896,49
65,274,39
65,1438,36
65,1750,25
65,378,20
65,101,19
65,798,18
65,177,12
65,45,9
65,1858,9
65,1903,5
65,577,3
65,422,2
65,1067,2
,Total Calculation Time,398

66,1723,87
66,429,62
66,536,50
66,330,39
66,1618,36
66,1760,25
66,432,20
66,133,19
66,891,18
66,202,12
66,53,9
66,1873,9
66,1909,5
66,595,3
66,423,2
66,1079,2
,Total Calculation Time,398

67,59,86
67,1507,64
67,1610,49
67,527,39
67,1649,36
67,1765,25
67,486,20
67,144,19
67,937,18
67,210,12
67,71,9
67,1902,9
67,1975,5
67,600,3
67,426,2
67,1086,2
,Total Calculation Time,398

68,478,86
68,157,63
68,903,50
68,675,39
68,1660,36
68,1955,25
68,499,20
68,192,19
68,953,18
68,257,12
68,110,9
68,1928,9
68,1989,5
68,606,3
68,437,2
68,1114,2
,Total Calculation Time,398

69,846,86
69,234,63
69,914,50
69,911,39
69,1862,36
69,1982,25
69,520,20
69,218,19
69,965,18
69,263,12
69,127,9
69,1946,9
69,1990,5
69,659,3
69,453,2
69,1123,2
,Total Calculation Time,398

70,982,86
70,447,63
70,998,50
70,1306,39
70,1933,36
70,39,24
70,1013,21
70,291,19
70,1031,18
70,272,12
70,184,9
70,1961,9
70,1999,5
70,687,3
70,454,2
70,1125,2
,Total Calculation Time,398

71,1820,86
71,505,63
71,1001,50
71,1382,39
71,1935,36
71,73,24
71,1069,21
71,368,19
71,1064,18
71,273,12
71,187,9
71,1978,9
71,12,4
71,1916,4
71,469,2
71,1143,2
,Total Calculation Time,398

72,37,85
72,13,64
72,1102,50
72,1459,39
72,1972,36
72,243,24
72,1135,21
72,388,19
72,1089,18
72,284,12
72,205,9
72,1987,9
72,29,4
72,1925,4
72,471,2
72,1192,2
,Total Calculation Time,398

73,599,85
73,418,64
73,1186,50
73,1578,39
73,1973,36
73,325,24
73,1170,21
73,400,19
73,1095,18
73,287,12
73,232,9
73,1994,9
73,36,4
73,1932,4
73,477,2
73,1217,2
,Total Calculation Time,398

74,800,85
74,1255,64
74,1699,50
74,1678,39
74,1997,36
74,501,24
74,1230,21
74,444,19
74,1105,18
74,294,12
74,307,9
74,10,6
74,1240,6
74,77,4
74,691,3
74,1245,2
,Total Calculation Time,398

75,1319,85
75,1272,64
75,1800,50
75,1713,39
75,181,35
75,702,25
75,1275,21
75,467,19
75,1136,18
75,296,12
75,308,9
75,18,6
75,1248,6
75,79,4
75,712,3
75,1304,2
,Total Calculation Time,398

76,503,84
76,1845,65
76,8,49
76,1150,40
76,383,35
76,741,25
76,1329,21
76,489,19
76,1140,18
76,421,12
76,310,9
76,22,6
76,1263,6
76,81,4
76,746,3
76,1323,2
,Total Calculation Time,398

77,230,83
77,1315,67
77,141,48
77,1264,40
77,392,35
77,822,25
77,1330,21
77,564,19
77,1141,18
77,428,12
77,321,9
77,43,6
77,1265,6
77,85,4
77,755,3
77,1341,2
,Total Calculation Time,398

78,367,83
78,1454,67
78,1477,48
78,1280,40
78,436,35
78,829,25
78,1368,21
78,568,19
78,1191,18
78,433,12
78,354,9
78,52,6
78,1284,6
78,138,4
78,760,3
78,1344,2
,Total Calculation Time,398

79,500,83
79,1662,67
79,1788,48
79,1433,40
79,932,35
79,863,25
79,1377,21
79,583,19
79,1204,18
79,443,12
79,405,9
79,63,6
79,1303,6
79,255,4
79,762,3
79,1351,2
,Total Calculation Time,398

80,557,83
80,1669,67
80,112,47
80,26,41
80,1540,35
80,964,25
80,1384,21
80,610,19
80,1211,18
80,455,12
80,406,9
80,69,6
80,1307,6
80,262,4
80,783,3
80,1352,2
,Total Calculation Time,398

81,842,83
81,1920,66
81,46,49
81,1447,40
81,1544,35
81,992,25
81,1385,21
81,644,19
81,1234,18
81,470,12
81,456,9
81,72,6
81,1320,6
81,264,4
81,814,3
81,1371,2
,Total Calculation Time,398

